1874.0	1
1877.0816326530612	1
1880.1632653061224	0
1883.2448979591836	1
1886.3265306122448	5
1889.408163265306	13
1892.4897959183672	116
1895.5714285714287	2291
1898.6530612244899	5415
1901.734693877551	6244
1904.8163265306123	5397
1907.8979591836735	12176
1910.9795918367347	21314
1914.061224489796	27028
1917.142857142857	17107
1920.2244897959183	12605
1923.3061224489795	9634
1926.3877551020407	9429
1929.469387755102	11836
1932.5510204081634	8155
1935.6326530612246	9147
1938.7142857142858	8488
1941.795918367347	6740
1944.8775510204082	6017
1947.9591836734694	10329
1951.0408163265306	18874
1954.1224489795918	25814
1957.204081632653	35539
1960.2857142857142	42862
1963.3673469387754	45959
1966.4489795918366	58426
1969.5306122448978	77568
1972.6122448979593	59560
1975.6938775510205	60121
1978.7755102040817	63989
1981.857142857143	64879
1984.938775510204	75037
1988.0204081632653	83626
1991.1020408163265	98681
1994.1836734693877	127721
1997.265306122449	163544
2000.3469387755101	211672
2003.4285714285713	275414
2006.5102040816328	556899
2009.591836734694	560383
2012.6734693877552	738917
2015.7551020408164	770754
2018.8367346938776	25075
2021.9183673469388	89
2025.0	9
