5	9.5
505	8.7
1005	8.6
1505	8.5
2005	8.5
2505	8.5
3005	8.4
3505	8.4
4005	8.4
4505	8.4
5005	8.4
5505	8.4
6005	8.4
6505	8.4
7005	8.4
7505	8.4
8005	8.3
8505	8.3
9005	8.3
9505	8.3
10005	8.3
10505	8.3
11005	8.3
11505	8.3
12005	8.3
12505	8.3
13005	8.3
13505	8.3
14005	8.3
14505	8.3
15005	8.3
15505	8.3
16005	8.3
16505	8.3
17005	8.3
17505	8.3
18005	8.2
18505	8.2
19005	8.2
19505	8.2
20005	8.2
20505	8.2
21005	8.2
21505	8.2
22005	8.2
22505	8.2
23005	8.2
23505	8.2
24005	8.2
24505	8.2
25005	8.2
25505	8.2
26005	8.2
26505	8.2
27005	8.2
27505	8.2
28005	8.2
28505	8.2
29005	8.2
29505	8.2
